Augmentation,Average Test Accuracy
"randomcrop224,morpho_erosion,morpho_dilation,affine",79.94129459063333
"randomcrop224,morpho_dilation,affine,colorjitter",79.88258600236666
"randomcrop224,morpho_erosion,affine,colorjitter",79.84344760576666
"randomcrop224,affine,colorjitter,gaussianblur",79.75212335586667
"randomcrop224,affine,colorjitter,invert",79.68689203263334
"randomcrop224,morpho_erosion,morpho_dilation,colorjitter",79.6673198541
"randomcrop224,morpho_erosion,colorjitter",79.65427438420001
"randomcrop224,morpho_erosion,affine,gray",79.64122891423334
"randomcrop224,colorjitter,gaussianblur",79.62165872256666
"randomcrop224,morpho_dilation,affine",79.5368572076
"randomcrop224,colorjitter",79.53033645946667
"randomcrop224,morpho_dilation,affine,gray",79.51729098956666
"randomcrop224,morpho_erosion,morpho_dilation,gaussianblur",79.49771881103332
"randomcrop224,morpho_erosion,affine,gaussianblur",79.4520596663
"randomcrop224,affine,invert,gaussianblur",79.44553494456666
"randomcrop224,affine,colorjitter,gray",79.40639456113333
"randomcrop224,morpho_dilation,affine,invert",79.399873813
"randomcrop224,morpho_erosion",79.39335107800001
"randomcrop224,affine,colorjitter",79.3933471044
"randomcrop224,morpho_erosion,morpho_dilation",79.38682635626667
"randomcrop224,gaussianblur",79.36725815136667
"randomcrop224,affine,gaussianblur",79.35421069466666
"randomcrop224,morpho_erosion,colorjitter,gaussianblur",79.34768597286666
"randomcrop224,morpho_dilation,affine,gaussianblur",79.31507031119999
"randomcrop224,morpho_dilation,colorjitter,gaussianblur",79.23679153126668
"randomcrop224,morpho_erosion,affine,invert",79.22374804813334
"randomcrop224,morpho_erosion,invert",79.20417785643333
"randomcrop224,morpho_dilation,colorjitter",79.1976551215
"randomcrop224,morpho_dilation,gaussianblur,gray",79.19765313466667
"randomcrop224,morpho_dilation,invert,gaussianblur",79.19765313466667
"randomcrop224,affine,gaussianblur,gray",79.1911303997
"randomcrop224,morpho_erosion,affine",79.18460766473333
"randomcrop224,morpho_erosion,gaussianblur",79.17808492976667
"randomcrop224,morpho_erosion,morpho_dilation,gray",79.17808492976667
"randomcrop224,affine",79.14546728133332
"randomcrop224,morpho_dilation,colorjitter,gray",79.12590106326667
"randomcrop224,morpho_erosion,gaussianblur,gray",79.11937634153333
"randomcrop224,morpho_erosion,morpho_dilation,invert",79.06066775323333
"randomcrop224,colorjitter,gray",79.0606677532
"randomcrop224,morpho_erosion,colorjitter,gray",79.03457482653333
"randomcrop224,affine,gray",79.02805209159999
"randomcrop224,morpho_dilation,gray",78.9954384168
"randomcrop224,colorjitter,invert",78.9954384168
"randomcrop224,morpho_erosion,gray",78.99543841676666
"randomcrop224,gaussianblur,gray",78.97586623826668
"randomcrop224,colorjitter,gaussianblur,gray",78.96934549016667
"randomcrop224,gray",78.91715765
"randomcrop224,invert",78.91063690186667
"randomcrop224,affine,invert",78.89106671013333
randomcrop224,78.88454397516666
"randomcrop224,morpho_erosion,invert,gaussianblur",78.85845104853333
"randomcrop224,morpho_dilation,gaussianblur",78.81278793016666
"randomcrop224,morpho_dilation,invert",78.79974246026666
"randomcrop224,morpho_dilation,invert,gray",78.78669500353334
"randomcrop224,invert,gaussianblur",78.70189547536667
"randomcrop224,morpho_dilation",78.66275707883334
"randomcrop224,affine,invert,gray",78.6170939604
"randomcrop224,colorjitter,invert,gaussianblur",78.6040465037
"randomcrop224,morpho_erosion,colorjitter,invert",78.57795556383333
"randomcrop224,colorjitter,hflip,gaussianblur",78.57795556383333
"randomcrop224,morpho_erosion,morpho_dilation,hflip",78.53229244546667
"randomcrop224,morpho_dilation,hflip,gray",78.4996767839
"randomcrop224,morpho_dilation,colorjitter,hflip",78.49315404893333
"randomcrop224,morpho_dilation,colorjitter,invert",78.4931540489
"randomcrop224,colorjitter,hflip",78.38878234226665
"randomcrop224,morpho_erosion,hflip,gaussianblur",78.3692141374
"randomcrop224,morpho_erosion,colorjitter,hflip",78.30398281413333
"randomcrop224,morpho_dilation,hflip,gaussianblur",78.2974580924
"randomcrop224,invert,gaussianblur,gray",78.25179696083333
"randomcrop224,morpho_erosion,hflip,gray",78.17352016766667
"randomcrop224,hflip,gaussianblur,gray",78.14090450603334
"randomcrop224,morpho_erosion,hflip",78.12785704933334
"randomcrop224,morpho_dilation,hflip",78.0887166659
"randomcrop224,hflip",78.0169626077
"randomcrop224,hflip,gaussianblur",77.9973944028
"randomcrop224,colorjitter,hflip,gray",77.97130147616666
"randomcrop224,affine,colorjitter,hflip",77.9582540194
"randomcrop224,invert,gray",77.86692976953333
"randomcrop224,hflip,invert",77.80169844626667
"randomcrop224,morpho_erosion,invert,gray",77.80169844626666
"randomcrop224,hflip,invert,gaussianblur",77.71689891816666
"randomcrop224,colorjitter,invert,gray",77.70385146143333
"randomcrop224,morpho_dilation,hflip,invert",77.68428325653333
"randomcrop224,affine,hflip,invert",77.63209541636667
"randomcrop224,affine,hflip,gaussianblur",77.6190499465
"randomcrop224,morpho_erosion,affine,hflip",77.55381862323333
"randomcrop224,morpho_dilation,affine,hflip",77.54729588826667
"randomcrop224,affine,hflip",77.52772768339999
"randomcrop224,morpho_erosion,hflip,invert",77.44944890336667
"randomcrop224,colorjitter,hflip,invert",77.42335597676667
"randomcrop224,hflip,gray",77.37117012343334
"randomcrop224,affine,hflip,gray",77.22766200703333
"randomcrop224,hflip,invert,gray",77.20809181530001
